	LogPcg	LogPcw	LogKow	LogB 
nmethylmorpholine	5.1	0.46	-0.33	-999
scopolamine	13.96	1.64	-999	-999
uracil	5.86	-1.7	-1.05	-999
13dimethyluracil	7.22	0.52	-999	-999
caffeine	11.02	1.23	-0.07	-999
guanine	9.39	-3.25	-999	-999
codeine	14.97	2.2	1.14	-999
thiophene	4.03	3	1.81	-999
thiazole	4.33	1.01	0.44	-999
phenylurea	8.74	-0.68	0.83	-999
1phenyl33dimethylurea	9.7	1.29	1.04	-999
barbituric	7.33	-2.1	-1.44	-999
55diethylbarbituric	8.5	-0.15	0.7	-999
5ethyl5propylbarbituric	9.46	0.3	-999	-999
5ethyl22pentylbarbituric	10.22	1.59	2.1	-999
5ethyl5allylbarbituric	10.31	0.64	-999	-999
5ethyl5phenilbarbital	11.97	0.65	1.53	-999
acetoneoxime	4.16	-0.3	-999	-999
cyclohexanoneoxime	5.93	0.82	-999	-999
diuron	10.54	2.54	2.77	-999
monuron	9.75	2.12	1.94	-999
benzoylacetone	7.36	3.67	2.52	-999
18crown6	12.22	0.79	-999	3.91
15crown5	10.32	0.95	-999	3.19
betulin	20.82	10.43	-999	-999
acetylacetone	4.91	1.37	0.4	-999
benzo15crown5	12.95	2.4	-999	-999
benzo18crown6	15.68	2.57	-999	-999
ACB18C6	16.45	3.4	-999	-999
gebr4	5.19	0.49	-999	-999
gecl4	3.09	0.79	-999	-999
CH3HgCl	5.76	1.04	-999	-999
C6H5HgCl	8.81	2.45	-999	-999
carbamazepine	13.09	1.96	-999	-999
ibuprofen	8.73	3.03	3.51	-999
zidovudine	12.93	-0.31	-999	-999
lactic	5.05	-2	-0.62	-999
cfcl3	2.07	2.52	2.53	-999
cf2cl2	1.25	2.38	2.16	-999
hcn	2.3	-0.67	-999	-999
2acetylpyrazine	-999	1.42	0.2	-999
digitoxin	-999	3.65	-999	-999
3methylindole	-999	2.24	2.6	-999
3bromopyridine	-999	1.65	1.6	-999
4hydroxybenzaldehyde	6.34	-0.14	1.35	-999
4methylbenzylalcohol	7.05	1.83	1.59	-999
2chlorophenol	4.7	1.36	2.19	-999
4hydroxybenzoic	7.89	1.19	1.96	2.54
methylbenzylketone	-999	3.53	1.44	-999
phenanthrene	7.86	5.06	4.52	5.31
5methyl2hexanol	-999	2.74	-999	-999
3chloroacetic	-999	-1.11	1.33	-999
16crown5	10.63	1.45	-999	-999
methyl2hydroxybenzoate	6.12	3.15	2.46	-999
